# VMRC Export Report
# Export Date: 2026-01-09T08:40:01.564706
# Export ID: 6a0d2ab5
# Software: VMRC Portal
# Raster: HSL2.5_DF_50_W_m.tif
# Raster Path: D:\VMRC_Project\Data_Analysis!!\Nov20\Mortality-DEC30\HighStressMortality\Douglas_Fir\50\HSL2.5_DF_50_W_m.tif
# Filter Selections:
#   Map Type: hsl
#   Species: Douglas-fir
#   Condition: W
#   Cover %: 50
#   HSL Class: m

Statistics Summary
Metric,Value
Count,279437
Min,0.00
Max,99.62
Mean,24.89
Std Dev,40.15
Median,0.01

Histogram Bins
Range,Count,Percentage
0-10,34610,69.22%
10-20,957,1.91%
20-30,701,1.40%
30-40,560,1.12%
40-50,519,1.04%
50-60,566,1.13%
60-70,567,1.13%
70-80,699,1.40%
80-90,1081,2.16%
90-100,9740,19.48%
