# VMRC Export Report
# Export Date: 2026-01-09T14:58:28.015882
# Export ID: a8d45926
# Software: VMRC Portal
# Raster: HSL2.5_DF_50_D_l.tif
# Raster Path: D:\VMRC_Project\Data_Analysis!!\Nov20\HighStressMortality\Douglas_Fir\50\l\HSL2.5_DF_50_D_l.tif
# Filter Selections:
#   Map Type: High Stress Level
#   Species: Douglas-fir
#   Condition: Dry
#   Cover %: 50
#   HSL Class: l

Statistics Summary
Metric,Value
Count,224365
Min,0.00
Max,99.62
Mean,72.79
Std Dev,32.19
Median,87.97

Histogram Bins
Range,Count,Percentage
0–10,4517,9.03%
10–20,1335,2.67%
20–30,1432,2.86%
30–40,1860,3.72%
40–50,2221,4.44%
50–60,2765,5.53%
60–70,3291,6.58%
70–80,3806,7.61%
80–90,4914,9.83%
90–100,23859,47.72%
