# VMRC Export Report
# Export Date: 2026-01-09T09:17:06.740034
# Export ID: e78efeff
# Software: VMRC Portal
# Raster: HSL2.5_DF_50_D_l.tif
# Raster Path: D:\VMRC_Project\Data_Analysis!!\Nov20\HighStressMortality\Douglas_Fir\50\l\HSL2.5_DF_50_D_l.tif
# Filter Selections:
#   Map Type: High Stress Level
#   Species: Douglas-fir
#   Condition: Dry
#   Cover %: 50
#   HSL Class: l

Statistics Summary
Metric,Value
Count,238206
Min,0.00
Max,99.62
Mean,70.48
Std Dev,36.53
Median,91.65

Histogram Bins
Range,Count,Percentage
0–10,7186,14.37%
10–20,1884,3.77%
20–30,1322,2.64%
30–40,1273,2.55%
40–50,1545,3.09%
50–60,1934,3.87%
60–70,2439,4.88%
70–80,2821,5.64%
80–90,3758,7.52%
90–100,25838,51.68%
